Question_number,Questions
4.11,"To format the given physics text into LaTeX, we need to present the formula for the moment of inertia of a uniform sphere and then describe the task of deducing the moment of inertia for a thin hollow sphere. Here's how you can format it:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Use the formula for the moment of inertia of a uniform sphere about its diameter:
\begin{equation}
    I = \frac{2}{5}MR^2
\end{equation}
to deduce the moment of inertia of a thin hollow sphere about the axis passing through the centre.

\end{document}
```

This LaTeX code snippet includes the formula for the moment of inertia of a uniform sphere and sets up the context for deducing the moment of inertia of a thin hollow sphere."
4.12,"To format the given physics problem in LaTeX, we need to structure it properly and use the appropriate LaTeX commands for mathematical expressions and formatting. Here is how you can present the problem:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A solid cylinder of mass $m$ and radius $R$ rolls down an inclined plane of height $h$ without slipping. Find the speed of its centre of mass when the cylinder reaches the bottom.

\end{document}
```

This LaTeX code sets up a basic document with the problem statement. The mass $m$, radius $R$, and height $h$ are properly formatted as mathematical variables."
4.13,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

As the star has an initial radius of $6 \times 10^8 \, \text{m}$ and a period of rotation about its axis of 30 days. Eventually, it evolves into a neutron star with a radius of only $10^4 \, \text{m}$ and a period of $0.1 \, \text{s}$. Assuming that the mass has not changed, find the ratio of initial and final (a) angular momentum and (b) kinetic energy.

\begin{enumerate}
    \item \textbf{Angular Momentum:}
    \begin{equation}
        L = I \omega
    \end{equation}
    where $I$ is the moment of inertia and $\omega$ is the angular velocity. For a spherical object, $I = \frac{2}{5} m r^2$ and $\omega = \frac{2\pi}{T}$, where $T$ is the period of rotation.

    \item \textbf{Kinetic Energy:}
    \begin{equation}
        KE = \frac{1}{2} I \omega^2
    \end{equation}
\end{enumerate}

\end{document}
```

This LaTeX document sets up the problem statement and equations needed to find the ratios of angular momentum and kinetic energy for the star's initial and final states."
4.14,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}
\usepackage{physics}
\usepackage{siunitx}

\begin{document}

A uniform solid ball rolls down a slope. If the ball has a diameter of $0.5\,\mathrm{m}$ and a mass of $0.1\,\mathrm{kg}$, find the following:

\begin{enumerate}
    \item[(a)] The equation which describes the velocity of the ball at any time, given that it starts from rest. Clearly state any assumptions you make.

    \item[(b)] If the slope has an incline of $30^\circ$ to the horizontal, what is the speed of the ball after it travels $3\,\mathrm{m}$?

    \item[(c)] At this point, what is the angular momentum of the ball?

    \item[(d)] If the coefficient of friction between the ball and the slope is $0.26$, what is the maximum angle of inclination the slope could have which still allows the ball to roll?
\end{enumerate}

\textbf{Assumptions:}
\begin{itemize}
    \item The ball rolls without slipping.
    \item The only forces acting on the ball are gravity, normal force, and friction.
\end{itemize}

\textbf{Solution Outline:}

\begin{enumerate}
    \item[(a)] To find the velocity of the ball at any time $t$, we use the equations of motion for rolling without slipping. The translational velocity $v(t)$ and the angular velocity $\omega(t)$ are related by $v(t) = R \omega(t)$, where $R$ is the radius of the ball. The acceleration $a$ can be found using Newton's second law and the rotational dynamics equation.

    \item[(b)] Using the kinematic equations and the known incline angle, calculate the speed of the ball after it travels $3\,\mathrm{m}$.

    \item[(c)] The angular momentum $L$ of the ball can be calculated using $L = I \omega$, where $I$ is the moment of inertia of the ball.

    \item[(d)] To find the maximum angle of inclination, use the condition for rolling without slipping, which involves the static frictional force and the gravitational component along the slope.
\end{enumerate}

\end{document}
```

This LaTeX code provides a structured format for the problem statement and outlines the solution approach without solving it. Adjustments can be made based on specific requirements or additional details."
4.15,"Here is the LaTeX code for the given physics text:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\textbf{(a)} Show that the least coefficient of friction for an inclined plane of angle $\theta$ in order that a solid cylinder will roll down without slipping is $\frac{1}{3} \tan \theta$.

\textbf{(b)} Show that for a hoop the least coefficient of friction is $\frac{2}{3} \tan \theta$.

\end{document}
```

This code will format the text with proper mathematical notation and structure for the given physics problem."
4.16,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Physics Problem: Tension in a Thread}
\author{Osmania University}
\date{}

\maketitle

\section*{Problem Statement}

A small mass $m$ tied to a non-stretchable thread moves over a smooth horizontal plane. The other end of the thread is drawn through a hole with constant velocity, as shown in Fig. 4.2. Show that the tension in the thread is inversely proportional to the cube of the distance from the hole.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure_4_2.png} % Replace with the actual path to the figure
    \caption{Illustration of the mass $m$ moving on a horizontal plane with the thread passing through a hole.}
    \label{fig:4.2}
\end{figure}

\end{document}
```

Note: Replace `figure_4_2.png` with the actual path to your figure file. This code sets up a document with a title, author, and a problem statement, and includes a placeholder for the figure."
4.17,"To convert the given physics text into properly formatted LaTeX, we will structure it using equations and text formatting for clarity. Here is the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

An ice skater spins at an angular velocity of \(4\pi \, \text{rad/s}\) with her arms extended.

\begin{enumerate}
    \item[(a)] If her moment of inertia with arms folded is 80\% of that with arms extended, what is her angular velocity when she folds her arms?
    
    \item[(b)] Find the fractional change in kinetic energy.
\end{enumerate}

\end{document}
```

This code sets up the problem statement in a clear and organized manner using LaTeX's `enumerate` environment for listing parts (a) and (b). The mathematical expressions are formatted using the `amsmath` package for better readability."
4.18,"To format the given physics problem in LaTeX, we can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

A sphere of radius $R$ and mass $M$ rolls down a horizontal plane. When it reaches the bottom of an incline of angle $\theta$, it has velocity $v_0$. Assuming that it rolls without slipping, how far up the incline would it travel?

\end{document}
```

This code sets up a basic LaTeX document with the necessary packages for mathematical symbols and formatting, and it includes the problem statement formatted with appropriate mathematical symbols and variables."
4.19,"To convert the given text into properly formatted LaTeX, we can structure it as follows:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

A body of mass $m$ is attached to a light string wound around a pulley of mass $M$ and radius $R$ mounted on an axis supported by fixed frictionless bearings (see Fig. 4.3). Find the linear acceleration $a$ of $m$ and the tension $T$ in the string.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure4_3.png} % Replace with actual figure file
    \caption{Diagram illustrating the setup described.}
    \label{fig:4.3}
\end{figure}

\end{document}
```

Note: Replace `figure4_3.png` with the actual file name of the figure if you have it. The figure environment is used to include and reference the image in the document."
4.20,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

A light string is wound several times around a spool of mass $M$ and radius $R$. The free end of the string is attached to a fixed point and the spool is held so that the part of the string not in contact with it is vertical (see Fig.~\ref{fig:spool}). If the spool is let go, find the acceleration and the tension of the string.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.4\textwidth]{spool_diagram.png} % Replace with actual file name
    \caption{Diagram of the spool and string setup.}
    \label{fig:spool}
\end{figure}

\end{document}
```"
4.21,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

Two unequal masses $m_1$ and $m_2$ ($m_1 > m_2$) are suspended by a light string over a pulley of mass $M$ and radius $R$ as shown in Fig. 4.5. Assuming that slipping does not occur and the friction of the axle is negligible, determine the following:

\begin{enumerate}
    \item[(a)] The acceleration with which the masses move.
    \item[(b)] The angular acceleration of the pulley.
    \item[(c)] The ratio of tensions $T_1/T_2$ in the process of motion.
\end{enumerate}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure4_5.png}
    \caption{Diagram of the system with masses $m_1$ and $m_2$ over a pulley of mass $M$ and radius $R$.}
    \label{fig:4_5}
\end{figure}

\end{document}
```

Note: Ensure that the image file `figure4_5.png` is available in the same directory as your LaTeX document to display the figure correctly."
4.22,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Two wheels with moments of inertia $I_1$ and $I_2$ are set in rotation with angular speeds $\omega_1$ and $\omega_2$, respectively. When they are coupled face to face, they rotate with a common angular speed $\omega$ due to frictional forces. Find:

\begin{enumerate}
    \item[(a)] The common angular speed $\omega$.
    \item[(b)] The work done by the frictional forces.
\end{enumerate}

\end{document}
```"
4.23,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

Consider a uniform, thin rod of length $l$ and mass $M$. 

\begin{enumerate}
    \item[(a)] The rod is held vertically with one end on the floor and is then allowed to fall. Use energy conservation to find the speed of the other end just before it hits the floor, assuming the end on the floor does not slip.

    \item[(b)] You have an additional point mass $m$ that you have to attach to the rod. Where do you have to attach it, in order to make sure that the speed of the falling end is not altered if the experiment in (a) is repeated?
\end{enumerate}

\textit{[University of Durham 2005]}

\end{document}
```

This LaTeX code formats the problem statement into a clear and structured document, using mathematical symbols and proper LaTeX environments for clarity."
4.24,"To convert the given physics text into properly formatted LaTeX, we need to ensure that all symbols, variables, and expressions are correctly represented. Here is the LaTeX code for the problem statement:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A thin circular disc of mass $M$ and radius $R$ is rotated with a constant angular velocity $\omega$ in the horizontal plane. Two particles, each of mass $m$, are gently attached at the opposite ends of the diameter of the disc. What is the new angular velocity of the disc?

\end{document}
```

This LaTeX code includes the necessary formatting for the physics problem, using math mode for variables and ensuring clarity in the description."
4.25,"To format the given physics text into LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

If the velocity is $\mathbf{v} = 2\hat{\imath} - 3\hat{\jmath} + \hat{k}$ and the position vector is $\mathbf{r} = \hat{\imath} + 2\hat{\jmath} - 3\hat{k}$, find the angular momentum for a particle of mass $m$.

\end{document}
```

This LaTeX code uses the `amsmath` and `amssymb` packages for better mathematical formatting and symbols. The vectors are represented in bold, and the unit vectors are denoted with hats."
4.26,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}
\usepackage{siunitx}

\begin{document}

A ball of mass \( m = 0.2 \, \text{kg} \) and radius \( r = 0.5 \, \text{m} \) starts from rest and rolls down a \( 30^\circ \) inclined plane.

\begin{enumerate}
    \item[(a)] Find the time it would take to cover \( 7 \, \text{m} \).
    \item[(b)] Calculate the torque acting at the end of \( 7 \, \text{m} \).
\end{enumerate}

\end{document}
```"
4.27,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

A string is wrapped around a cylinder of mass $m$ and radius $R$. The string is pulled vertically upwards to prevent the centre of mass from falling as the cylinder unwinds the string. Find:

\begin{enumerate}
    \item[(a)] the tension in the string.
    \item[(b)] the work done on the cylinder when it acquires angular velocity $\omega$.
    \item[(c)] the length of the string unwound in the time the angular speed reaches $\omega$.
\end{enumerate}

\end{document}
```"
4.28,"To properly format the given physics problem in LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Physics Problem: Cylinder with Cords}
\author{Osmania University}
\date{}

\maketitle

\section*{Problem Statement}

Two cords are wrapped around the cylinder, one near each end, and the cord ends, which are vertical, are attached to hooks on the ceiling (see Fig. 4.6). The cylinder, which is held horizontally, has length $L$, radius $R$, and weight $W$. If the cylinder is released, find:

\begin{enumerate}
    \item The tension in the cords.
    \item The acceleration of the cylinder.
\end{enumerate}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure4_6.png}
    \caption{Diagram of the cylinder with cords attached.}
    \label{fig:cylinder}
\end{figure}

\end{document}
```

Make sure to replace `figure4_6.png` with the actual image file name if you have it, or adjust the figure environment as needed. This code sets up a document with a title, author, and a section for the problem statement, including a placeholder for the figure."
4.29,"To convert the given physics text into properly formatted LaTeX, we can structure it as follows:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A body of radius \( R \) and mass \( M \) is initially rolling on a level surface with speed \( u \). It then rolls up an incline to a maximum height \( h \). If 

\[
h = \frac{3u^2}{4g},
\]

figure out the geometrical shape of the body.

\end{document}
```

This LaTeX code uses the `amsmath` package for better handling of mathematical expressions and ensures that all variables and equations are properly formatted."
4.30,"```latex
As a solid cylinder, a hollow cylinder, a solid sphere, and a hollow sphere of the same mass and radius are placed on an incline and are released simultaneously from the same height. In which order would these bodies reach the bottom of the incline? See Fig. 4.6.
```

To include a figure, you can use the following LaTeX code snippet, assuming you have an image file named `figure4_6.png`:

```latex
\documentclass{article}
\usepackage{graphicx}

\begin{document}

As a solid cylinder, a hollow cylinder, a solid sphere, and a hollow sphere of the same mass and radius are placed on an incline and are released simultaneously from the same height. In which order would these bodies reach the bottom of the incline? See Fig. 4.6.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure4_6.png}
    \caption{Illustration of the solid cylinder, hollow cylinder, solid sphere, and hollow sphere on an incline.}
    \label{fig:4_6}
\end{figure}

\end{document}
```

Make sure to replace `figure4_6.png` with the actual path to your image file. This code will create a document with the text and include the figure labeled as Fig. 4.6."
4.31,"To format the given physics text into LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A tube of length $L$ is filled with an incompressible liquid of mass $M$ and closed at both ends. The tube is then rotated in a horizontal plane about one of its ends with a uniform angular velocity $\omega$. Show that the force exerted by the liquid at the other end is given by

\begin{equation}
    F = \frac{1}{2} M \omega^2 L.
\end{equation}

\end{document}
```

This LaTeX code will properly format the physics problem statement and the equation as requested."
4.32,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

Consider a uniform bar of length $6a$ and mass $8m$ lying on a smooth horizontal table. Two point masses, $m$ and $2m$, are moving in the same horizontal plane with speeds $2v$ and $v$, respectively. They strike the bar and stick to it, as shown in Fig. 4.7. The bar is set in rotation. We need to show the following:

\begin{enumerate}
    \item The center of mass velocity $v_c = 0$
    \item The angular momentum $J = 6mva$
    \item The angular velocity $\omega = \frac{v}{5a}$
    \item The rotational energy $E = \frac{3mv^2}{5}$
\end{enumerate}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{fig4_7.png}
    \caption{Illustration of the bar and point masses.}
    \label{fig:4_7}
\end{figure}

\end{document}
```"
4.33,"To convert the given physics text into properly formatted LaTeX, we need to ensure that all symbols, equations, and formatting are correctly represented. Here's the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\noindent
A rod of negligible weight and of length $2d$ carries two point masses of $m$ each separated by distance $d$, as shown in Figure 4.8. If the rod is released from a horizontal position, show that the speed of the lower mass when the rod is in the vertical position will be 

\[
v = \sqrt{\frac{24gd}{5}}.
\]

\end{document}
```

This LaTeX code includes the necessary packages for mathematical formatting and ensures that the equation is properly displayed. The text is formatted to match the original description, with mathematical symbols and variables correctly typeset."
4.34,"To properly format the given physics text in LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

If the radius of the Earth suddenly decreases to half its present value, with the mass remaining constant, what would be the duration of the day?

\begin{figure}[h]
    \centering
    % Insert your figure here, for example:
    % \includegraphics[width=0.5\textwidth]{figure_4_8.png}
    \caption{Figure 4.8: [Your figure description here]}
    \label{fig:4.8}
\end{figure}

\end{document}
```

Make sure to replace the comment in the `figure` environment with the actual figure or image you want to include, using the `\includegraphics` command from the `graphicx` package if necessary. The `\caption` command provides a description for the figure, and the `\label` command allows you to reference the figure within your document."
4.35,"To properly format the given physics text into LaTeX, we need to ensure that the equations and symbols are correctly typeset. Below is the LaTeX code for the provided text:

```latex
\documentclass{article}
\usepackage{amsmath}
\begin{document}

At a pole cracks and falls over. If $\theta$ is the angle made by the pole with the vertical, show that the radial acceleration of the top of the pole is given by:

\[
a_R = \frac{3}{2}g(1 - \cos\theta)
\]

and its tangential acceleration is:

\[
a_T = \frac{3}{2}g\sin\theta
\]

\end{document}
```

This LaTeX code will format the text with the equations displayed properly, using the `amsmath` package for better mathematical typesetting. The equations are centered and clearly separated from the text for readability."
4.36,"To convert the given physics text into properly formatted LaTeX, we need to ensure that the equations and variables are correctly typeset. Here's the LaTeX code for the provided text:

```latex
The angular momentum of a particle at a point varies with time as 
\(\mathbf{J} = a t^2 \hat{\mathbf{i}} + b \hat{\mathbf{j}}\), 
where \(a\) and \(b\) are constants. When the angle between the torque about the point and the angular momentum is \(45^\circ\), show that the magnitude of the torque and angular momentum will be \(2\sqrt{ab}\) and \(\sqrt{2b}\), respectively.
```

This LaTeX code uses the `\mathbf{}` command for vectors, `\hat{}` for unit vectors, and `\(^\circ\)` for the degree symbol. The square roots and other mathematical symbols are properly formatted using standard LaTeX math mode syntax."
4.37,"To properly format the given physics text into LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A uniform disc of radius $R$ is spun about the vertical axis and placed on a horizontal surface. If the initial angular speed is $\omega$ and the coefficient of friction is $\mu$, show that the time before which the disc comes to rest is given by

\[
t = \frac{3\omega R}{4\mu g}.
\]

\end{document}
```

This LaTeX code will format the text and the equation correctly, ensuring that mathematical symbols and variables are properly displayed."
4.38,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

As a small homogeneous solid sphere of mass $m$ and radius $r$ rolls without slipping along the loop-the-loop track, as shown in Fig. 4.9. If the radius of the circular part of the track is $R$ and the sphere starts from rest at a height $h = 6R$ above the bottom, find the horizontal component of the force acting on the track at point $Q$ at a height $R$ from the bottom. See Fig. 4.9.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{loop_the_loop.png} % Replace with the actual path to the image
    \caption{Loop-the-loop track with a sphere rolling without slipping.}
    \label{fig:loop_the_loop}
\end{figure}

\end{document}
```

Make sure to replace `""loop_the_loop.png""` with the actual path to your image file for Fig. 4.9. This code will format the physics problem statement and include a placeholder for the figure."
4.39,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

A particle is projected horizontally along the interior of a smooth hemispherical bowl of radius $r$. If the initial angular position of the particle is $\theta_0$, find the initial velocity required by the particle just to reach the top of the bowl (see Fig. 4.10).

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{figure4_10.png} % Replace with the actual path to the figure
    \caption{Illustration of the particle's motion in the hemispherical bowl.}
    \label{fig:4_10}
\end{figure}

\end{document}
```"
4.40,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

A spool of mass $m$, with a thread wound on it, is placed on an incline of $30^\circ$ to the horizontal. The free end of the thread is attached to a nail, as shown in Fig. 4.11. Find the acceleration of the spool.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{spool_on_incline.png} % Replace with the actual path to the image
    \caption{Spool on an incline}
    \label{fig:spool_incline}
\end{figure}

\end{document}
```

Note: Replace `spool_on_incline.png` with the actual path to the image file for Fig. 4.11."
4.41,"To convert the given physics text into properly formatted LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A flywheel with initial angular velocity $\omega_0$ undergoes deceleration due to frictional forces, with the torque on the axle being proportional to the square root of its angular velocity. Calculate the mean angular velocity of the wheel averaged over the total deceleration time.

\end{document}
```

This LaTeX code sets up a basic document with the necessary packages for mathematical formatting. The text is formatted to include the initial angular velocity symbol, \(\omega_0\), using LaTeX math mode."
4.42,"To convert the given text into properly formatted LaTeX, we need to structure the problem statement clearly, using appropriate mathematical symbols and formatting. Here's how you can write it:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A conical pendulum consisting of a thin uniform rod of length \( L \) and mass \( m \) with the upper end of the rod freely hanging rotates about a vertical axis with angular velocity \( \omega \). Find the angle \( \theta \) which the rod makes with the vertical.

\end{document}
```

This LaTeX code will format the problem statement clearly, using mathematical symbols for the length \( L \), mass \( m \), angular velocity \( \omega \), and angle \( \theta \)."
4.43,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

A billiard ball is initially struck such that it slides across the snooker table with a linear velocity $V_0$. The coefficient of friction between the ball and the table is $\mu$. At the instant the ball begins to roll without sliding, calculate:

\begin{enumerate}
    \item its linear velocity,
    \item the time elapsed after being struck,
    \item the distance travelled by the ball.
\end{enumerate}

State clearly what assumptions you have made about the forces acting on the ball throughout.

\end{document}
```

This LaTeX code formats the given physics problem statement into a structured document with clear enumeration for each part of the problem. The use of math mode for variables like $V_0$ and $\mu$ ensures proper typesetting of the physics symbols."
4.44,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

Consider a point mass $m$ with momentum $\mathbf{p}$ rotating at a distance $r$ about an axis. Starting from the definition of the angular momentum $\mathbf{L} \equiv \mathbf{r} \times \mathbf{p}$ of this point mass, show that $\frac{d\mathbf{L}}{dt} = \boldsymbol{\tau}$, where $\boldsymbol{\tau}$ is the torque.

A uniform rod of length $l$ and mass $M$ rests on a frictionless horizontal surface. The rod pivots about a fixed frictionless axis at one end. The rod is initially at rest. A bullet of mass $m$ travelling parallel to the horizontal surface and perpendicular to the rod with speed $v$ strikes the rod at its centre and becomes embedded in it. Using the result above, show that the angular momentum of the rod after the collision is given by 

\[
|\mathbf{L}| = \frac{1}{2} l v
\]

Is $\mathbf{L} = \left(\frac{l}{2}\right) m v$ also correct? What is the final angular speed of the rod? Assuming $M = 5m$, what is the ratio of the kinetic energy of the system after the collision to the kinetic energy of the bullet before the collision?

\end{document}
```

This LaTeX code formats the given physics problem statement into a structured document, using appropriate mathematical symbols and expressions."
4.45,"To properly format the given physics problem in LaTeX, we can structure it as follows:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

A uniform sphere of radius $r$, initially at rest, rolls without slipping down from the top of a sphere of radius $R$. Find the angular velocity of the ball at the instant it breaks off the sphere and show that the angle $\theta = \cos^{-1}\left(\frac{10}{17}\right)$ with the vertical.

\end{document}
```

This LaTeX code includes the necessary packages for mathematical typesetting and formats the problem statement clearly. The use of `\cos^{-1}` ensures the inverse cosine is properly displayed, and the fraction is neatly formatted with `\frac{10}{17}`."
