Question_number,Questions,Category,Solutions
11.1,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem}

\subsection*{(a)}

Figure 11.1 shows two point clusters of charge situated in free space placed on a line that is called the $x$-axis. The first, with a positive charge of $Q_1 = +8e$, is at the origin. The second, with a negative charge of $Q_2 = -4e$, is to the right at a distance equal to $0.2 \, \text{m}$.

\begin{enumerate}
    \item[(i)] What is the magnitude of the force between them?

    \item[(ii)] Where would you expect to find the position of zero electric field: to the left of $Q_1$, between $Q_1$ and $Q_2$, or to the right of $Q_2$? Briefly explain your choice and then work out the exact position.
\end{enumerate}

\subsection*{(b)}

The electron in a hydrogen atom orbits the proton at a radius of $5.3 \times 10^{-11} \, \text{m}$.

\begin{enumerate}
    \item[(i)] What is the proton’s electric field strength at the position of the electron?

    \item[(ii)] What is the magnitude of the electric force on the electron?
\end{enumerate}

\begin{center}
    [University of Aberystwyth, Wales]
\end{center}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{Figure11_1.png}
    \caption{Charges $Q_1$ and $Q_2$ on the $x$-axis.}
\end{figure}

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem}

\subsection*{(a)}

Figure 11.1 shows two point clusters of charge situated in free space placed on a line that is called the $x$-axis. The first, with a positive charge of $Q_1 = +8e$, is at the origin. The second, with a negative charge of $Q_2 = -4e$, is to the right at a distance equal to $0.2 \, \text{m}$.

\begin{enumerate}
    \item[(i)] What is the magnitude of the force between them?

    \item[(ii)] Where would you expect to find the position of zero electric field: to the left of $Q_1$, between $Q_1$ and $Q_2$, or to the right of $Q_2$? Briefly explain your choice and then work out the exact position.
\end{enumerate}

\subsection*{(b)}

The electron in a hydrogen atom orbits the proton at a radius of $5.3 \times 10^{-11} \, \text{m}$.

\begin{enumerate}
    \item[(i)] What is the proton’s electric field strength at the position of the electron?

    \item[(ii)] What is the magnitude of the electric force on the electron?
\end{enumerate}

\begin{center}
    [University of Aberystwyth, Wales]
\end{center}

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{Figure11_1.png}
    \caption{Charges $Q_1$ and $Q_2$ on the $x$-axis.}
\end{figure}

\end{document}"
11.5,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Physics Problem}

A spherical liquid drop has a diameter of $2 \, \text{mm}$ and is given a charge of $2 \times 10^{-15} \, \text{C}$. 

\begin{enumerate}
    \item[(i)] What is the potential at the surface of the drop?
    \item[(ii)] If two such drops coalesce to form a single drop, what is the potential at the surface of the drop so formed? 
\end{enumerate}

\textit{[Indian Institute of Technology 1973]}

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Physics Problem}

A spherical liquid drop has a diameter of $2 \, \text{mm}$ and is given a charge of $2 \times 10^{-15} \, \text{C}$. 

\begin{enumerate}
    \item[(i)] What is the potential at the surface of the drop?
    \item[(ii)] If two such drops coalesce to form a single drop, what is the potential at the surface of the drop so formed? 
\end{enumerate}

\textit{[Indian Institute of Technology 1973]}

\end{document}"
11.8,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Physics Problem}

\textbf{Problem:} In problem (11.7), what will be the potential and electric field in the above setup if the consecutive charges have opposite sign? [Indian Institute of Technology 1974]

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Physics Problem}

\textbf{Problem:} In problem (11.7), what will be the potential and electric field in the above setup if the consecutive charges have opposite sign? [Indian Institute of Technology 1974]

\end{document}"
11.10,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

Three charges, each of value $q$, are placed at the corners of an equilateral triangle. A fourth charge $Q$ is placed at the center of the triangle.

\begin{enumerate}
    \item[(i)] If $Q = -q$, will the charges at the corners move towards the center or fly away from it?
    \item[(ii)] For what value of $Q$ will the charges remain stationary?
\end{enumerate}

\textit{[Indian Institute of Technology 1978]}
\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

Three charges, each of value $q$, are placed at the corners of an equilateral triangle. A fourth charge $Q$ is placed at the center of the triangle.

\begin{enumerate}
    \item[(i)] If $Q = -q$, will the charges at the corners move towards the center or fly away from it?
    \item[(ii)] For what value of $Q$ will the charges remain stationary?
\end{enumerate}

\textit{[Indian Institute of Technology 1978]}
\end{document}"
11.11,"\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

\section*{Problem}

Two identically charged spheres are suspended by strings of equal length. The strings make an angle of \(30^\circ\) with each other. When suspended in a liquid of density \(\SI{0.8}{\gram\per\centi\meter\cubed}\), the angle remains the same. What is the dielectric constant of the liquid? The density of the material of the sphere is \(\SI{1.6}{\gram\per\centi\meter\cubed}\).

\textit{[Indian Institute of Technology 1976]}

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

\section*{Problem}

Two identically charged spheres are suspended by strings of equal length. The strings make an angle of \(30^\circ\) with each other. When suspended in a liquid of density \(\SI{0.8}{\gram\per\centi\meter\cubed}\), the angle remains the same. What is the dielectric constant of the liquid? The density of the material of the sphere is \(\SI{1.6}{\gram\per\centi\meter\cubed}\).

\textit{[Indian Institute of Technology 1976]}

\end{document}"
11.12,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

At the corner \( A \) of square \( ABCD \) with side length \( 10 \, \text{cm} \), a charge \( 6 \times 10^{-8} \, \text{C} \) is placed. Another charge of \( -3 \times 10^{-8} \, \text{C} \) is located at the center of the square. Find the work done in carrying a charge \( 5 \times 10^{-9} \, \text{C} \) from the corner \( C \) to the corner \( B \) of the square. \hfill [\text{Indian Institute of Technology 1972}]

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

At the corner \( A \) of square \( ABCD \) with side length \( 10 \, \text{cm} \), a charge \( 6 \times 10^{-8} \, \text{C} \) is placed. Another charge of \( -3 \times 10^{-8} \, \text{C} \) is located at the center of the square. Find the work done in carrying a charge \( 5 \times 10^{-9} \, \text{C} \) from the corner \( C \) to the corner \( B \) of the square. \hfill [\text{Indian Institute of Technology 1972}]

\end{document}"
11.16,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

As a spark is produced between two insulated surfaces, maintained at a constant potential difference of \(5 \times 10^6 \, \text{V}\), if the energy output is \(10^{-5} \, \text{J}\), calculate the charge transferred. How many electrons have flowed? \textit{[Indian Institute of Technology 1974]}

\section*{Solution}

The energy \(E\) transferred in an electric field is given by the equation:
\[
E = V \cdot Q
\]
where \(E\) is the energy, \(V\) is the potential difference, and \(Q\) is the charge transferred.

Given:
\[
E = 10^{-5} \, \text{J}, \quad V = 5 \times 10^6 \, \text{V}
\]

We can solve for \(Q\) as follows:
\[
Q = \frac{E}{V} = \frac{10^{-5} \, \text{J}}{5 \times 10^6 \, \text{V}} = 2 \times 10^{-12} \, \text{C}
\]

Next, to find the number of electrons \(n\) that have flowed, we use the charge of a single electron \(e = 1.6 \times 10^{-19} \, \text{C}\):
\[
n = \frac{Q}{e} = \frac{2 \times 10^{-12} \, \text{C}}{1.6 \times 10^{-19} \, \text{C/electron}} \approx 1.25 \times 10^7 \, \text{electrons}
\]

Thus, the charge transferred is \(2 \times 10^{-12} \, \text{C}\) and approximately \(1.25 \times 10^7\) electrons have flowed.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

As a spark is produced between two insulated surfaces, maintained at a constant potential difference of \(5 \times 10^6 \, \text{V}\), if the energy output is \(10^{-5} \, \text{J}\), calculate the charge transferred. How many electrons have flowed? \textit{[Indian Institute of Technology 1974]}

\section*{Solution}

The energy \(E\) transferred in an electric field is given by the equation:
\[
E = V \cdot Q
\]
where \(E\) is the energy, \(V\) is the potential difference, and \(Q\) is the charge transferred.

Given:
\[
E = 10^{-5} \, \text{J}, \quad V = 5 \times 10^6 \, \text{V}
\]

We can solve for \(Q\) as follows:
\[
Q = \frac{E}{V} = \frac{10^{-5} \, \text{J}}{5 \times 10^6 \, \text{V}} = 2 \times 10^{-12} \, \text{C}
\]

Next, to find the number of electrons \(n\) that have flowed, we use the charge of a single electron \(e = 1.6 \times 10^{-19} \, \text{C}\):
\[
n = \frac{Q}{e} = \frac{2 \times 10^{-12} \, \text{C}}{1.6 \times 10^{-19} \, \text{C/electron}} \approx 1.25 \times 10^7 \, \text{electrons}
\]

Thus, the charge transferred is \(2 \times 10^{-12} \, \text{C}\) and approximately \(1.25 \times 10^7\) electrons have flowed.

\end{document}"
11.19,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Millikan's Oil Drop Method}

The electronic charge \( e \) can be determined using Millikan's oil drop method. Consider an oil drop of radius \( r \) that acquires a terminal speed \( v_1 \) with a downward electric field \( E \) and a speed \( v_2 \) with an upward electric field. We aim to derive an expression for \( e \) in terms of \( E \), \( v_1 \), \( v_2 \), \( r \), and the viscosity of oil in air, \( \eta \).

\subsection*{Derivation}

When the oil drop reaches terminal velocity, the forces acting on it are balanced. For the downward motion with speed \( v_1 \), the forces are:

\[
F_{\text{gravity}} + F_{\text{electric}} = F_{\text{drag}}
\]

\[
mg + eE = 6\pi \eta r v_1
\]

For the upward motion with speed \( v_2 \), the forces are:

\[
F_{\text{gravity}} = F_{\text{electric}} + F_{\text{drag}}
\]

\[
mg = eE + 6\pi \eta r v_2
\]

Solving these two equations simultaneously, we can eliminate \( mg \) (the gravitational force) and solve for \( e \):

1. From the first equation:
   \[
   mg = 6\pi \eta r v_1 - eE
   \]

2. Substitute \( mg \) from the first equation into the second equation:
   \[
   6\pi \eta r v_1 - eE = eE + 6\pi \eta r v_2
   \]

3. Rearrange to solve for \( e \):
   \[
   6\pi \eta r v_1 - 6\pi \eta r v_2 = 2eE
   \]

4. Simplify:
   \[
   e = \frac{3\pi \eta r (v_1 - v_2)}{E}
   \]

Thus, the expression for the electronic charge \( e \) in terms of the given variables is:

\[
e = \frac{3\pi \eta r (v_1 - v_2)}{E}
\]

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Millikan's Oil Drop Method}

The electronic charge \( e \) can be determined using Millikan's oil drop method. Consider an oil drop of radius \( r \) that acquires a terminal speed \( v_1 \) with a downward electric field \( E \) and a speed \( v_2 \) with an upward electric field. We aim to derive an expression for \( e \) in terms of \( E \), \( v_1 \), \( v_2 \), \( r \), and the viscosity of oil in air, \( \eta \).

\subsection*{Derivation}

When the oil drop reaches terminal velocity, the forces acting on it are balanced. For the downward motion with speed \( v_1 \), the forces are:

\[
F_{\text{gravity}} + F_{\text{electric}} = F_{\text{drag}}
\]

\[
mg + eE = 6\pi \eta r v_1
\]

For the upward motion with speed \( v_2 \), the forces are:

\[
F_{\text{gravity}} = F_{\text{electric}} + F_{\text{drag}}
\]

\[
mg = eE + 6\pi \eta r v_2
\]

Solving these two equations simultaneously, we can eliminate \( mg \) (the gravitational force) and solve for \( e \):

1. From the first equation:
   \[
   mg = 6\pi \eta r v_1 - eE
   \]

2. Substitute \( mg \) from the first equation into the second equation:
   \[
   6\pi \eta r v_1 - eE = eE + 6\pi \eta r v_2
   \]

3. Rearrange to solve for \( e \):
   \[
   6\pi \eta r v_1 - 6\pi \eta r v_2 = 2eE
   \]

4. Simplify:
   \[
   e = \frac{3\pi \eta r (v_1 - v_2)}{E}
   \]

Thus, the expression for the electronic charge \( e \) in terms of the given variables is:

\[
e = \frac{3\pi \eta r (v_1 - v_2)}{E}
\]

\end{document}"
11.20,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem}

A circular wire of radius $r$ has a uniform linear charge density $\lambda = \lambda_0 \cos^2 \theta$. Show that the total charge on the wire is $\pi \lambda_0 r$.

\section*{Solution}

To find the total charge $Q$ on the wire, we integrate the linear charge density $\lambda$ over the entire circumference of the circle. The linear charge density is given by:

\[
\lambda(\theta) = \lambda_0 \cos^2 \theta
\]

The differential charge element $dq$ on an infinitesimal segment of the wire is:

\[
dq = \lambda(\theta) \, rd\theta = \lambda_0 \cos^2 \theta \, rd\theta
\]

The total charge $Q$ is obtained by integrating $dq$ over the full circle from $\theta = 0$ to $\theta = 2\pi$:

\[
Q = \int_0^{2\pi} \lambda_0 \cos^2 \theta \, r \, d\theta
\]

Using the trigonometric identity $\cos^2 \theta = \frac{1 + \cos(2\theta)}{2}$, we can rewrite the integral as:

\[
Q = \lambda_0 r \int_0^{2\pi} \frac{1 + \cos(2\theta)}{2} \, d\theta
\]

This simplifies to:

\[
Q = \frac{\lambda_0 r}{2} \left( \int_0^{2\pi} 1 \, d\theta + \int_0^{2\pi} \cos(2\theta) \, d\theta \right)
\]

The first integral evaluates to:

\[
\int_0^{2\pi} 1 \, d\theta = 2\pi
\]

The second integral evaluates to zero because the integral of $\cos(2\theta)$ over a full period is zero:

\[
\int_0^{2\pi} \cos(2\theta) \, d\theta = 0
\]

Thus, the total charge $Q$ is:

\[
Q = \frac{\lambda_0 r}{2} \times 2\pi = \pi \lambda_0 r
\]

Therefore, the total charge on the wire is $\pi \lambda_0 r$.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem}

A circular wire of radius $r$ has a uniform linear charge density $\lambda = \lambda_0 \cos^2 \theta$. Show that the total charge on the wire is $\pi \lambda_0 r$.

\section*{Solution}

To find the total charge $Q$ on the wire, we integrate the linear charge density $\lambda$ over the entire circumference of the circle. The linear charge density is given by:

\[
\lambda(\theta) = \lambda_0 \cos^2 \theta
\]

The differential charge element $dq$ on an infinitesimal segment of the wire is:

\[
dq = \lambda(\theta) \, rd\theta = \lambda_0 \cos^2 \theta \, rd\theta
\]

The total charge $Q$ is obtained by integrating $dq$ over the full circle from $\theta = 0$ to $\theta = 2\pi$:

\[
Q = \int_0^{2\pi} \lambda_0 \cos^2 \theta \, r \, d\theta
\]

Using the trigonometric identity $\cos^2 \theta = \frac{1 + \cos(2\theta)}{2}$, we can rewrite the integral as:

\[
Q = \lambda_0 r \int_0^{2\pi} \frac{1 + \cos(2\theta)}{2} \, d\theta
\]

This simplifies to:

\[
Q = \frac{\lambda_0 r}{2} \left( \int_0^{2\pi} 1 \, d\theta + \int_0^{2\pi} \cos(2\theta) \, d\theta \right)
\]

The first integral evaluates to:

\[
\int_0^{2\pi} 1 \, d\theta = 2\pi
\]

The second integral evaluates to zero because the integral of $\cos(2\theta)$ over a full period is zero:

\[
\int_0^{2\pi} \cos(2\theta) \, d\theta = 0
\]

Thus, the total charge $Q$ is:

\[
Q = \frac{\lambda_0 r}{2} \times 2\pi = \pi \lambda_0 r
\]

Therefore, the total charge on the wire is $\pi \lambda_0 r$.

\end{document}"
11.23,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Electric Field at the Center of a Square}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

Charges are placed at the four corners of a square of side $a$, as shown in Fig. 11.3. Find the magnitude and direction of the electric field at the center of the square.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.4\textwidth]{figure11_3.png} % Replace with actual image file
    \caption{Charges at the corners of a square}
    \label{fig:11_3}
\end{figure}

\section*{Solution}

To find the electric field at the center of the square, we consider the contributions from each charge. Let the charges be $q_1, q_2, q_3, q_4$ located at the corners of the square. The distance from each charge to the center of the square is $\frac{a}{\sqrt{2}}$.

The electric field due to a point charge $q$ at a distance $r$ is given by:
\[
\mathbf{E} = \frac{k \cdot q}{r^2} \hat{\mathbf{r}}
\]
where $k = \frac{1}{4\pi\varepsilon_0}$ is Coulomb's constant and $\hat{\mathbf{r}}$ is the unit vector pointing from the charge to the point of interest.

Since the square is symmetric, the horizontal and vertical components of the electric fields due to opposite charges will cancel each other out if the charges are equal and opposite. Therefore, we need to calculate the resultant electric field vector at the center.

Assuming all charges are equal, the net electric field $\mathbf{E}_{\text{net}}$ at the center is:
\[
\mathbf{E}_{\text{net}} = 4 \cdot \frac{k \cdot q}{\left(\frac{a}{\sqrt{2}}\right)^2} \cdot \frac{1}{\sqrt{2}} \hat{\mathbf{r}}
\]

Simplifying, we get:
\[
\mathbf{E}_{\text{net}} = \frac{4kq}{a^2} \hat{\mathbf{r}}
\]

The direction of the electric field will depend on the configuration of the charges. If all charges are the same, the electric field will point outward from the center. If opposite charges are equal, the field will point towards the positive charge.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\title{Electric Field at the Center of a Square}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

Charges are placed at the four corners of a square of side $a$, as shown in Fig. 11.3. Find the magnitude and direction of the electric field at the center of the square.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.4\textwidth]{figure11_3.png} % Replace with actual image file
    \caption{Charges at the corners of a square}
    \label{fig:11_3}
\end{figure}

\section*{Solution}

To find the electric field at the center of the square, we consider the contributions from each charge. Let the charges be $q_1, q_2, q_3, q_4$ located at the corners of the square. The distance from each charge to the center of the square is $\frac{a}{\sqrt{2}}$.

The electric field due to a point charge $q$ at a distance $r$ is given by:
\[
\mathbf{E} = \frac{k \cdot q}{r^2} \hat{\mathbf{r}}
\]
where $k = \frac{1}{4\pi\varepsilon_0}$ is Coulomb's constant and $\hat{\mathbf{r}}$ is the unit vector pointing from the charge to the point of interest.

Since the square is symmetric, the horizontal and vertical components of the electric fields due to opposite charges will cancel each other out if the charges are equal and opposite. Therefore, we need to calculate the resultant electric field vector at the center.

Assuming all charges are equal, the net electric field $\mathbf{E}_{\text{net}}$ at the center is:
\[
\mathbf{E}_{\text{net}} = 4 \cdot \frac{k \cdot q}{\left(\frac{a}{\sqrt{2}}\right)^2} \cdot \frac{1}{\sqrt{2}} \hat{\mathbf{r}}
\]

Simplifying, we get:
\[
\mathbf{E}_{\text{net}} = \frac{4kq}{a^2} \hat{\mathbf{r}}
\]

The direction of the electric field will depend on the configuration of the charges. If all charges are the same, the electric field will point outward from the center. If opposite charges are equal, the field will point towards the positive charge.

\end{document}"
11.24,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem Statement}

A thin, non-conducting rod of length $L$ carries a total charge $+Q$ spread uniformly along it. Find the electric field at point $P$, which is at a distance $y$ from the axis of the rod on the perpendicular bisector.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Problem Statement}

A thin, non-conducting rod of length $L$ carries a total charge $+Q$ spread uniformly along it. Find the electric field at point $P$, which is at a distance $y$ from the axis of the rod on the perpendicular bisector.

\end{document}"
11.25,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

Consider a non-conducting rod bent to form an arc of a circle with radius $r$. The arc subtends an angle $\theta_0$ at the center of the circle. If a total charge $q$ is spread uniformly along the rod, find the electric field at the center of the circle.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

Consider a non-conducting rod bent to form an arc of a circle with radius $r$. The arc subtends an angle $\theta_0$ at the center of the circle. If a total charge $q$ is spread uniformly along the rod, find the electric field at the center of the circle.

\end{document}"
11.26,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Problem Statement}

An arc in the $xy$-plane is given a total charge $Q = 2\pi R \lambda$. Show that the electric field $E$ is maximum when the distance $z = \frac{R}{\sqrt{2}}$.

\section*{Solution}

To solve this problem, we first need to express the electric field $E$ due to the arc at a point along the $z$-axis. The arc is part of a circle of radius $R$ with a linear charge density $\lambda$. The total charge on the arc is given by:

\[
Q = 2\pi R \lambda
\]

The electric field at a point on the $z$-axis due to a small charge element $dq$ on the arc is given by:

\[
dE = \frac{1}{4\pi \varepsilon_0} \frac{dq}{r^2}
\]

where $r$ is the distance from the charge element to the point on the $z$-axis. Since the arc is symmetric about the $z$-axis, we only need to consider the $z$-component of the electric field. The $z$-component is:

\[
dE_z = dE \cos \theta = \frac{1}{4\pi \varepsilon_0} \frac{dq}{r^2} \cos \theta
\]

where $\cos \theta = \frac{z}{r}$ and $r = \sqrt{R^2 + z^2}$.

The total electric field $E_z$ is obtained by integrating over the entire arc:

\[
E_z = \int dE_z = \int \frac{1}{4\pi \varepsilon_0} \frac{\lambda R d\theta}{(R^2 + z^2)} \frac{z}{\sqrt{R^2 + z^2}}
\]

Simplifying, we have:

\[
E_z = \frac{\lambda z}{4\pi \varepsilon_0} \int \frac{R d\theta}{(R^2 + z^2)^{3/2}}
\]

Evaluating the integral over the arc from $-\pi/2$ to $\pi/2$, we find:

\[
E_z = \frac{\lambda z R}{2\varepsilon_0 (R^2 + z^2)^{3/2}}
\]

To find the maximum value of $E_z$, we differentiate with respect to $z$ and set the derivative to zero:

\[
\frac{dE_z}{dz} = 0
\]

Solving this equation, we find:

\[
z = \frac{R}{\sqrt{2}}
\]

Thus, the electric field $E$ is maximum when the distance $z = \frac{R}{\sqrt{2}}$.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Problem Statement}

An arc in the $xy$-plane is given a total charge $Q = 2\pi R \lambda$. Show that the electric field $E$ is maximum when the distance $z = \frac{R}{\sqrt{2}}$.

\section*{Solution}

To solve this problem, we first need to express the electric field $E$ due to the arc at a point along the $z$-axis. The arc is part of a circle of radius $R$ with a linear charge density $\lambda$. The total charge on the arc is given by:

\[
Q = 2\pi R \lambda
\]

The electric field at a point on the $z$-axis due to a small charge element $dq$ on the arc is given by:

\[
dE = \frac{1}{4\pi \varepsilon_0} \frac{dq}{r^2}
\]

where $r$ is the distance from the charge element to the point on the $z$-axis. Since the arc is symmetric about the $z$-axis, we only need to consider the $z$-component of the electric field. The $z$-component is:

\[
dE_z = dE \cos \theta = \frac{1}{4\pi \varepsilon_0} \frac{dq}{r^2} \cos \theta
\]

where $\cos \theta = \frac{z}{r}$ and $r = \sqrt{R^2 + z^2}$.

The total electric field $E_z$ is obtained by integrating over the entire arc:

\[
E_z = \int dE_z = \int \frac{1}{4\pi \varepsilon_0} \frac{\lambda R d\theta}{(R^2 + z^2)} \frac{z}{\sqrt{R^2 + z^2}}
\]

Simplifying, we have:

\[
E_z = \frac{\lambda z}{4\pi \varepsilon_0} \int \frac{R d\theta}{(R^2 + z^2)^{3/2}}
\]

Evaluating the integral over the arc from $-\pi/2$ to $\pi/2$, we find:

\[
E_z = \frac{\lambda z R}{2\varepsilon_0 (R^2 + z^2)^{3/2}}
\]

To find the maximum value of $E_z$, we differentiate with respect to $z$ and set the derivative to zero:

\[
\frac{dE_z}{dz} = 0
\]

Solving this equation, we find:

\[
z = \frac{R}{\sqrt{2}}
\]

Thus, the electric field $E$ is maximum when the distance $z = \frac{R}{\sqrt{2}}$.

\end{document}"
11.27,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\title{Physics Problem: Electric Field and Potential}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

A total charge $Q$ is spread uniformly over the inner surface of a non-conducting hemispherical cup of inner radius $a$. Calculate:
\begin{enumerate}
    \item[(a)] The electric field at the center of the hemisphere.
    \item[(b)] The electric potential at the center of the hemisphere.
\end{enumerate}

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\title{Physics Problem: Electric Field and Potential}
\author{}
\date{}
\maketitle

\section*{Problem Statement}

A total charge $Q$ is spread uniformly over the inner surface of a non-conducting hemispherical cup of inner radius $a$. Calculate:
\begin{enumerate}
    \item[(a)] The electric field at the center of the hemisphere.
    \item[(b)] The electric potential at the center of the hemisphere.
\end{enumerate}

\end{document}"
11.28,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Electric Field of a Quadrupole}

Consider a quadrupole consisting of four charges: \( q, q, -q, -q \), located at the corners of a square with side length \( a \) (as shown in Fig. 11.4). We want to show that at a point \( P \), at a distance \( r \) from the center of the charges and in the same plane, the electric field varies inversely as the fourth power of \( r \), where \( r \gg a \).

\begin{figure}[h]
    \centering
    %\includegraphics{figure11_4.png} % Uncomment this line and provide the correct path to the figure file
    \caption{Configuration of the quadrupole charges.}
    \label{fig:quadrupole}
\end{figure}

To analyze the electric field at point \( P \), we consider the contributions from each of the four charges. The potential \( V \) at a distance \( r \) from the center due to a single charge \( q \) is given by:

\[
V = \frac{kq}{r}
\]

where \( k \) is Coulomb's constant. For a quadrupole, the potential at a point far from the charge configuration (\( r \gg a \)) can be expanded in a multipole series. The leading term for a quadrupole is:

\[
V_{\text{quad}} = \frac{kQ}{r^3}
\]

where \( Q \) is the quadrupole moment. The electric field \( \mathbf{E} \) is related to the potential by:

\[
\mathbf{E} = -\nabla V
\]

For the quadrupole, the electric field at point \( P \) is:

\[
E_{\text{quad}} = \frac{3kQ}{r^4}
\]

Thus, the electric field varies inversely as the fourth power of \( r \), confirming that:

\[
E \propto \frac{1}{r^4}
\]

This result holds under the condition \( r \gg a \), where the higher-order terms in the multipole expansion become negligible.

\end{document}",Electrostatics,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}

\begin{document}

\section*{Electric Field of a Quadrupole}

Consider a quadrupole consisting of four charges: \( q, q, -q, -q \), located at the corners of a square with side length \( a \) (as shown in Fig. 11.4). We want to show that at a point \( P \), at a distance \( r \) from the center of the charges and in the same plane, the electric field varies inversely as the fourth power of \( r \), where \( r \gg a \).

\begin{figure}[h]
    \centering
    %\includegraphics{figure11_4.png} % Uncomment this line and provide the correct path to the figure file
    \caption{Configuration of the quadrupole charges.}
    \label{fig:quadrupole}
\end{figure}

To analyze the electric field at point \( P \), we consider the contributions from each of the four charges. The potential \( V \) at a distance \( r \) from the center due to a single charge \( q \) is given by:

\[
V = \frac{kq}{r}
\]

where \( k \) is Coulomb's constant. For a quadrupole, the potential at a point far from the charge configuration (\( r \gg a \)) can be expanded in a multipole series. The leading term for a quadrupole is:

\[
V_{\text{quad}} = \frac{kQ}{r^3}
\]

where \( Q \) is the quadrupole moment. The electric field \( \mathbf{E} \) is related to the potential by:

\[
\mathbf{E} = -\nabla V
\]

For the quadrupole, the electric field at point \( P \) is:

\[
E_{\text{quad}} = \frac{3kQ}{r^4}
\]

Thus, the electric field varies inversely as the fourth power of \( r \), confirming that:

\[
E \propto \frac{1}{r^4}
\]

This result holds under the condition \( r \gg a \), where the higher-order terms in the multipole expansion become negligible.

\end{document}"
